Question,Subject,Chapter,Years_Appeared,Frequency,Average_Marks,,Priority,Is_Augmented,Source_Question
Find the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.,Antennas and Propagation,2. Radiation of Electric dipole,Winter 2022,1,3,,Low,TRUE,Calculate the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.
"In short, compute the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2022,1,3,,Low,TRUE,Calculate the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.
"Briefly, find the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.",Antennas and Propagation,2. Radiation of Electric dipole,Winter 2022,1,3,,Low,TRUE,Calculate the radiation resistance if the effective height of the aerial is 1/100th of the length of wave emitted.
"To summarize, explain the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",12,3.83,,High,TRUE,"Define the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length."
"Concisely, explain the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",12,3.83,,High,TRUE,"Define the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length."
"Briefly, define the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",12,3.83,,High,TRUE,"Define the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length."
"Concisely, define the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",12,3.83,,High,TRUE,"Define the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length."
"Briefly, describe the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2024, Summer 2025, Winter 2025",12,3.83,,High,TRUE,"Define the following antenna parameters: Beam solid angle, Directivity, Antenna Aperture, Half Power Beamwidth, Radiation intensity, Antenna radiation efficiency, and Effective length."
Obtain the expression of Friis transmission formula and explain how it determines loss between two antennas.,Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,6.5,,High,TRUE,Derive the expression of Friis transmission formula and explain how it determines loss between two antennas.
"In short, obtain the expression of Friis transmission formula and explain how it determines loss between two antennas.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,6.5,,High,TRUE,Derive the expression of Friis transmission formula and explain how it determines loss between two antennas.
"In brief, derive the expression of Friis transmission formula and explain how it determines loss between two antennas.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,6.5,,High,TRUE,Derive the expression of Friis transmission formula and explain how it determines loss between two antennas.
"Concisely, obtain the expression of Friis transmission formula and explain how it determines loss between two antennas.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,6.5,,High,TRUE,Derive the expression of Friis transmission formula and explain how it determines loss between two antennas.
"In short, deduce the expression of Friis transmission formula and explain how it determines loss between two antennas.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,6.5,,High,TRUE,Derive the expression of Friis transmission formula and explain how it determines loss between two antennas.
"Concisely, enlist and discuss about various antenna field zones with figures.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,3.4,,High,TRUE,Enlist and discuss about various antenna field zones with figures.
"Concisely, enumerate and discuss about various antenna field zones with figures.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,3.4,,High,TRUE,Enlist and discuss about various antenna field zones with figures.
"In brief, enumerate and discuss about various antenna field zones with figures.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,3.4,,High,TRUE,Enlist and discuss about various antenna field zones with figures.
"In brief, enlist and discuss about various antenna field zones with figures.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,3.4,,High,TRUE,Enlist and discuss about various antenna field zones with figures.
"To summarize, enlist and discuss about various antenna field zones with figures.",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,3.4,,High,TRUE,Enlist and discuss about various antenna field zones with figures.
"In brief, deduce the relation between Directivity and Beam area.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,TRUE,Derive the relation between Directivity and Beam area.
"Concisely, obtain the relation between Directivity and Beam area.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,TRUE,Derive the relation between Directivity and Beam area.
"In brief, obtain the relation between Directivity and Beam area.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,TRUE,Derive the relation between Directivity and Beam area.
"In short, deduce the relation between Directivity and Beam area.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,TRUE,Derive the relation between Directivity and Beam area.
Obtain the relation between Directivity and Beam area.,Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,TRUE,Derive the relation between Directivity and Beam area.
"Briefly, distinguish Gain and Directivity.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2024,1,3,,Low,TRUE,Differentiate Gain and Directivity.
"Concisely, compare Gain and Directivity.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2024,1,3,,Low,TRUE,Differentiate Gain and Directivity.
"In short, differentiate Gain and Directivity.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2024,1,3,,Low,TRUE,Differentiate Gain and Directivity.
Distinguish Gain and Directivity.,Antennas and Propagation,3. Antenna parameters and definitions,Summer 2024,1,3,,Low,TRUE,Differentiate Gain and Directivity.
"To summarize, compare Gain and Directivity.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2024,1,3,,Low,TRUE,Differentiate Gain and Directivity.
"Concisely, find the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta)).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2023, Summer 2025",2,4,,Medium,TRUE,"Find the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta))."
"In short, calculate the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta)).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2023, Summer 2025",2,4,,Medium,TRUE,"Find the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta))."
"Concisely, determine the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta)).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2023, Summer 2025",2,4,,Medium,TRUE,"Find the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta))."
"In short, determine the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta)).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2023, Summer 2025",2,4,,Medium,TRUE,"Find the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta))."
"Briefly, determine the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta)).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2023, Summer 2025",2,4,,Medium,TRUE,"Find the HPBW, FNBW, beam area, and directivity for given field patterns (e.g., E(theta) = cos^2(theta) or Pn(theta) = cos^3(theta))."
"Briefly, describe the difference between radian and steradian and show that one steradian is 3282 square degrees.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2023,1,4,,Low,TRUE,Explain the difference between radian and steradian and show that one steradian is 3282 square degrees.
"To summarize, explain the difference between radian and steradian and show that one steradian is 3282 square degrees.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2023,1,4,,Low,TRUE,Explain the difference between radian and steradian and show that one steradian is 3282 square degrees.
"Concisely, describe the difference between radian and steradian and show that one steradian is 3282 square degrees.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2023,1,4,,Low,TRUE,Explain the difference between radian and steradian and show that one steradian is 3282 square degrees.
"In short, explain the difference between radian and steradian and show that one steradian is 3282 square degrees.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2023,1,4,,Low,TRUE,Explain the difference between radian and steradian and show that one steradian is 3282 square degrees.
"Concisely, discuss the difference between radian and steradian and show that one steradian is 3282 square degrees.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2023,1,4,,Low,TRUE,Explain the difference between radian and steradian and show that one steradian is 3282 square degrees.
"To summarize, what do you mean by isotropic radiator? Compare it with omnidirectional radiator.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,TRUE,What do you mean by isotropic radiator? Compare it with omnidirectional radiator.
"Concisely, what do you mean by isotropic radiator? Compare it with omnidirectional radiator.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,TRUE,What do you mean by isotropic radiator? Compare it with omnidirectional radiator.
"In brief, what do you mean by isotropic radiator? Compare it with omnidirectional radiator.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,TRUE,What do you mean by isotropic radiator? Compare it with omnidirectional radiator.
"In short, what do you mean by isotropic radiator? Compare it with omnidirectional radiator.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,TRUE,What do you mean by isotropic radiator? Compare it with omnidirectional radiator.
"Briefly, what do you mean by isotropic radiator? Compare it with omnidirectional radiator.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2023,1,4,,Low,TRUE,What do you mean by isotropic radiator? Compare it with omnidirectional radiator.
Deduce the mathematical expression for the radiation intensity of an isotropic radiator.,Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,3,,Low,TRUE,Derive the mathematical expression for the radiation intensity of an isotropic radiator.
"Concisely, derive the mathematical expression for the radiation intensity of an isotropic radiator.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,3,,Low,TRUE,Derive the mathematical expression for the radiation intensity of an isotropic radiator.
"To summarize, derive the mathematical expression for the radiation intensity of an isotropic radiator.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,3,,Low,TRUE,Derive the mathematical expression for the radiation intensity of an isotropic radiator.
"In brief, derive the mathematical expression for the radiation intensity of an isotropic radiator.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,3,,Low,TRUE,Derive the mathematical expression for the radiation intensity of an isotropic radiator.
"In short, obtain the mathematical expression for the radiation intensity of an isotropic radiator.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,3,,Low,TRUE,Derive the mathematical expression for the radiation intensity of an isotropic radiator.
"To summarize, show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2022, Winter 2025",2,5.5,,Medium,TRUE,Show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).
"In short, show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2022, Winter 2025",2,5.5,,Medium,TRUE,Show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).
"Concisely, show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2022, Winter 2025",2,5.5,,Medium,TRUE,Show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).
"Briefly, show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2022, Winter 2025",2,5.5,,Medium,TRUE,Show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).
"In brief, show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).",Antennas and Propagation,3. Antenna parameters and definitions,"Winter 2022, Winter 2025",2,5.5,,Medium,TRUE,Show that the directivity of an infinitesimal dipole is 1.76dB (or 3/2).
"In brief, derive the mathematical expression between maximum effective aperture and directivity.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,7,,Low,TRUE,Derive the mathematical expression between maximum effective aperture and directivity.
"In brief, obtain the mathematical expression between maximum effective aperture and directivity.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,7,,Low,TRUE,Derive the mathematical expression between maximum effective aperture and directivity.
"In short, obtain the mathematical expression between maximum effective aperture and directivity.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,7,,Low,TRUE,Derive the mathematical expression between maximum effective aperture and directivity.
"To summarize, obtain the mathematical expression between maximum effective aperture and directivity.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,7,,Low,TRUE,Derive the mathematical expression between maximum effective aperture and directivity.
"To summarize, derive the mathematical expression between maximum effective aperture and directivity.",Antennas and Propagation,3. Antenna parameters and definitions,Winter 2025,1,7,,Low,TRUE,Derive the mathematical expression between maximum effective aperture and directivity.
"Briefly, determine the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2022,1,3,,Low,TRUE,Find the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.
Calculate the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.,Antennas and Propagation,3. Antenna parameters and definitions,Summer 2022,1,3,,Low,TRUE,Find the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.
"Concisely, determine the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2022,1,3,,Low,TRUE,Find the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.
"In brief, find the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2022,1,3,,Low,TRUE,Find the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.
"Briefly, calculate the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2022,1,3,,Low,TRUE,Find the directivity and gain when the input power is 125.66 mW and maximum radiation intensity is 200mW/unit solid angle.
"Briefly, illustrate the Radiation Pattern and write the relation between directivity and gain.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2025,1,4,,Low,TRUE,Draw the Radiation Pattern and write the relation between directivity and gain.
"In short, draw the Radiation Pattern and write the relation between directivity and gain.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2025,1,4,,Low,TRUE,Draw the Radiation Pattern and write the relation between directivity and gain.
"To summarize, draw the Radiation Pattern and write the relation between directivity and gain.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2025,1,4,,Low,TRUE,Draw the Radiation Pattern and write the relation between directivity and gain.
"In brief, illustrate the Radiation Pattern and write the relation between directivity and gain.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2025,1,4,,Low,TRUE,Draw the Radiation Pattern and write the relation between directivity and gain.
"In short, sketch the Radiation Pattern and write the relation between directivity and gain.",Antennas and Propagation,3. Antenna parameters and definitions,Summer 2025,1,4,,Low,TRUE,Draw the Radiation Pattern and write the relation between directivity and gain.
"Briefly, explain thoroughly about Binomial array and the principle of pattern multiplication for antenna arrays.",Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Summer 2025, Winter 2025",8,5.38,,High,TRUE,Explain in detail about Binomial array and the principle of pattern multiplication for antenna arrays.
"To summarize, describe in detail about Binomial array and the principle of pattern multiplication for antenna arrays.",Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Summer 2025, Winter 2025",8,5.38,,High,TRUE,Explain in detail about Binomial array and the principle of pattern multiplication for antenna arrays.
"Briefly, explain in detail about Binomial array and the principle of pattern multiplication for antenna arrays.",Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Summer 2025, Winter 2025",8,5.38,,High,TRUE,Explain in detail about Binomial array and the principle of pattern multiplication for antenna arrays.
"To summarize, explain in depth about Binomial array and the principle of pattern multiplication for antenna arrays.",Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Summer 2025, Winter 2025",8,5.38,,High,TRUE,Explain in detail about Binomial array and the principle of pattern multiplication for antenna arrays.
Explain in depth about Binomial array and the principle of pattern multiplication for antenna arrays.,Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025, Summer 2025, Winter 2025",8,5.38,,High,TRUE,Explain in detail about Binomial array and the principle of pattern multiplication for antenna arrays.
"Briefly, describe Dolph-Tchebysheff distribution for linear arrays.",Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2023, Summer 2024",3,5,,High,TRUE,Discuss Dolph-Tchebysheff distribution for linear arrays.
"To summarize, explain Dolph-Tchebysheff distribution for linear arrays.",Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2023, Summer 2024",3,5,,High,TRUE,Discuss Dolph-Tchebysheff distribution for linear arrays.
"In brief, discuss Dolph-Tchebysheff distribution for linear arrays.",Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2023, Summer 2024",3,5,,High,TRUE,Discuss Dolph-Tchebysheff distribution for linear arrays.
"Briefly, discuss Dolph-Tchebysheff distribution for linear arrays.",Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2023, Summer 2024",3,5,,High,TRUE,Discuss Dolph-Tchebysheff distribution for linear arrays.
"In short, discuss Dolph-Tchebysheff distribution for linear arrays.",Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2023, Summer 2024",3,5,,High,TRUE,Discuss Dolph-Tchebysheff distribution for linear arrays.
"In brief, explain Schelkunoff theorems for linear arrays and its usefulness.",Antennas and Propagation,4. Arrays of point sources,"Summer 2023, Summer 2024",2,5.5,,High,TRUE,Explain Schelkunoff theorems for linear arrays and its usefulness.
"In brief, describe Schelkunoff theorems for linear arrays and its usefulness.",Antennas and Propagation,4. Arrays of point sources,"Summer 2023, Summer 2024",2,5.5,,High,TRUE,Explain Schelkunoff theorems for linear arrays and its usefulness.
"In short, explain Schelkunoff theorems for linear arrays and its usefulness.",Antennas and Propagation,4. Arrays of point sources,"Summer 2023, Summer 2024",2,5.5,,High,TRUE,Explain Schelkunoff theorems for linear arrays and its usefulness.
"To summarize, describe Schelkunoff theorems for linear arrays and its usefulness.",Antennas and Propagation,4. Arrays of point sources,"Summer 2023, Summer 2024",2,5.5,,High,TRUE,Explain Schelkunoff theorems for linear arrays and its usefulness.
Discuss Schelkunoff theorems for linear arrays and its usefulness.,Antennas and Propagation,4. Arrays of point sources,"Summer 2023, Summer 2024",2,5.5,,High,TRUE,Explain Schelkunoff theorems for linear arrays and its usefulness.
"In short, what do you mean by array? Discuss its types briefly.",Antennas and Propagation,4. Arrays of point sources,Summer 2023,1,3,,Low,TRUE,What do you mean by array? Discuss its types in brief.
What do you mean by array? Discuss its types in short.,Antennas and Propagation,4. Arrays of point sources,Summer 2023,1,3,,Low,TRUE,What do you mean by array? Discuss its types in brief.
"Concisely, what do you mean by array? Discuss its types briefly.",Antennas and Propagation,4. Arrays of point sources,Summer 2023,1,3,,Low,TRUE,What do you mean by array? Discuss its types in brief.
"Concisely, what do you mean by array? Discuss its types in brief.",Antennas and Propagation,4. Arrays of point sources,Summer 2023,1,3,,Low,TRUE,What do you mean by array? Discuss its types in brief.
"In short, what do you mean by array? Discuss its types in brief.",Antennas and Propagation,4. Arrays of point sources,Summer 2023,1,3,,Low,TRUE,What do you mean by array? Discuss its types in brief.
"Concisely, compare broadside array and endfire array, and describe their properties.",Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Winter 2022, Winter 2025",4,4.25,,High,TRUE,"Differentiate broadside array and endfire array, and describe their properties."
"Briefly, compare broadside array and endfire array, and describe their properties.",Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Winter 2022, Winter 2025",4,4.25,,High,TRUE,"Differentiate broadside array and endfire array, and describe their properties."
"Distinguish broadside array and endfire array, and describe their properties.",Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Winter 2022, Winter 2025",4,4.25,,High,TRUE,"Differentiate broadside array and endfire array, and describe their properties."
"In short, distinguish broadside array and endfire array, and describe their properties.",Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Winter 2022, Winter 2025",4,4.25,,High,TRUE,"Differentiate broadside array and endfire array, and describe their properties."
"In brief, differentiate broadside array and endfire array, and describe their properties.",Antennas and Propagation,4. Arrays of point sources,"Winter 2021, Summer 2022, Winter 2022, Winter 2025",4,4.25,,High,TRUE,"Differentiate broadside array and endfire array, and describe their properties."
"Concisely, obtain the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).",Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025",7,6.14,,High,TRUE,Derive the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).
"In short, obtain the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).",Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025",7,6.14,,High,TRUE,Derive the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).
"In short, derive the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).",Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025",7,6.14,,High,TRUE,Derive the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).
Deduce the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).,Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025",7,6.14,,High,TRUE,Derive the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).
"To summarize, obtain the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).",Antennas and Propagation,4. Arrays of point sources,"Summer 2022, Winter 2022, Winter 2022, Summer 2023, Winter 2023, Winter 2024, Summer 2025",7,6.14,,High,TRUE,Derive the expression for the far field pattern of an array of point sources (e.g. 2 isotropic sources fed in-phase or out-of-phase).
"To summarize, design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method.",Antennas and Propagation,4. Arrays of point sources,Winter 2023,1,7,,Low,TRUE,"Design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method."
"Briefly, design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method.",Antennas and Propagation,4. Arrays of point sources,Winter 2023,1,7,,Low,TRUE,"Design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method."
"In short, design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method.",Antennas and Propagation,4. Arrays of point sources,Winter 2023,1,7,,Low,TRUE,"Design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method."
"In brief, design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method.",Antennas and Propagation,4. Arrays of point sources,Winter 2023,1,7,,Low,TRUE,"Design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method."
"Concisely, design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method.",Antennas and Propagation,4. Arrays of point sources,Winter 2023,1,7,,Low,TRUE,"Design a linear array with a spacing of d = lambda/6 such that it has zeros at theta = 0, 45, and 90 degrees using Schelkunoff's method."
"Concisely, explain the effect of ground on ungrounded antenna.",Antennas and Propagation,4. Arrays of point sources,Summer 2022,1,3,,Low,TRUE,Explain the effect of ground on ungrounded antenna.
"To summarize, explain the effect of ground on ungrounded antenna.",Antennas and Propagation,4. Arrays of point sources,Summer 2022,1,3,,Low,TRUE,Explain the effect of ground on ungrounded antenna.
"Concisely, describe the effect of ground on ungrounded antenna.",Antennas and Propagation,4. Arrays of point sources,Summer 2022,1,3,,Low,TRUE,Explain the effect of ground on ungrounded antenna.
"Briefly, explain the effect of ground on ungrounded antenna.",Antennas and Propagation,4. Arrays of point sources,Summer 2022,1,3,,Low,TRUE,Explain the effect of ground on ungrounded antenna.
"To summarize, discuss the effect of ground on ungrounded antenna.",Antennas and Propagation,4. Arrays of point sources,Summer 2022,1,3,,Low,TRUE,Explain the effect of ground on ungrounded antenna.
"Concisely, explain the working principle and radiation resistance of small loop antenna.",Antennas and Propagation,5. Loop Antenna,"Summer 2022, Summer 2023, Winter 2024, Summer 2025, Winter 2025",5,5.8,,High,TRUE,Explain the working principle and radiation resistance of small loop antenna.
