Question,Subject,Chapter,Years_Appeared,Frequency,Average_Marks,,Priority,Is_Augmented,Source_Question
"Briefly, “Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,3,,Low,TRUE,“Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.
"In brief, “Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.",Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,3,,Low,TRUE,“Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.
"To summarize, state classification of Embedded systems.",Embedded Systems,1. Introduction to Embedded Systems,Summer 2024,1,3,,Low,TRUE,Give classification of Embedded systems.
"To summarize, provide classification of Embedded systems.",Embedded Systems,1. Introduction to Embedded Systems,Summer 2024,1,3,,Low,TRUE,Give classification of Embedded systems.
"Concisely, state classification of Embedded systems.",Embedded Systems,1. Introduction to Embedded Systems,Summer 2024,1,3,,Low,TRUE,Give classification of Embedded systems.
Provide classification of Embedded systems.,Embedded Systems,1. Introduction to Embedded Systems,Summer 2024,1,3,,Low,TRUE,Give classification of Embedded systems.
"In short, provide classification of Embedded systems.",Embedded Systems,1. Introduction to Embedded Systems,Summer 2024,1,3,,Low,TRUE,Give classification of Embedded systems.
"Discuss Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with examples.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Summer 2025, Summer 2025, Winter 2025",7,4.14,,High,TRUE,"Describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with examples."
"Concisely, describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with illustrations.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Summer 2025, Summer 2025, Winter 2025",7,4.14,,High,TRUE,"Describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with examples."
"Briefly, describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) giving suitable examples.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Summer 2025, Summer 2025, Winter 2025",7,4.14,,High,TRUE,"Describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with examples."
"To summarize, describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with illustrations.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Summer 2025, Summer 2025, Winter 2025",7,4.14,,High,TRUE,"Describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with examples."
"To summarize, describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with examples.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Summer 2025, Summer 2025, Winter 2025",7,4.14,,High,TRUE,"Describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with examples."
"To summarize, compare Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Summer 2024, Winter 2024, Summer 2025",9,5.78,,High,TRUE,"Compare Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication."
"Briefly, distinguish Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Summer 2024, Winter 2024, Summer 2025",9,5.78,,High,TRUE,"Compare Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication."
"Concisely, compare Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Summer 2024, Winter 2024, Summer 2025",9,5.78,,High,TRUE,"Compare Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication."
"Differentiate Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Summer 2024, Winter 2024, Summer 2025",9,5.78,,High,TRUE,"Compare Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication."
"Distinguish Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Summer 2024, Winter 2024, Summer 2025",9,5.78,,High,TRUE,"Compare Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication."
"Compare the pros and cons of data transfers using serial and parallel ports, and describe SPI protocol.",Embedded Systems,2. Device and Communication Buses,"Summer 2022, Winter 2022",2,5.5,,Medium,TRUE,"Compare the advantages and disadvantages of data transfers using serial and parallel ports, and describe SPI protocol."
"In short, differentiate the advantages and disadvantages of data transfers using serial and parallel ports, and describe SPI protocol.",Embedded Systems,2. Device and Communication Buses,"Summer 2022, Winter 2022",2,5.5,,Medium,TRUE,"Compare the advantages and disadvantages of data transfers using serial and parallel ports, and describe SPI protocol."
"Compare the merits and demerits of data transfers using serial and parallel ports, and describe SPI protocol.",Embedded Systems,2. Device and Communication Buses,"Summer 2022, Winter 2022",2,5.5,,Medium,TRUE,"Compare the advantages and disadvantages of data transfers using serial and parallel ports, and describe SPI protocol."
"In brief, differentiate the advantages and disadvantages of data transfers using serial and parallel ports, and describe SPI protocol.",Embedded Systems,2. Device and Communication Buses,"Summer 2022, Winter 2022",2,5.5,,Medium,TRUE,"Compare the advantages and disadvantages of data transfers using serial and parallel ports, and describe SPI protocol."
"In short, compare the advantages and disadvantages of data transfers using serial and parallel ports, and describe SPI protocol.",Embedded Systems,2. Device and Communication Buses,"Summer 2022, Winter 2022",2,5.5,,Medium,TRUE,"Compare the advantages and disadvantages of data transfers using serial and parallel ports, and describe SPI protocol."
"In short, differentiate between serial and parallel communication, and explain USART protocol briefly.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2024, Winter 2025",4,4.25,,High,TRUE,"Differentiate between serial and parallel communication, and explain USART protocol in brief."
"In brief, compare between serial and parallel communication, and explain USART protocol in brief.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2024, Winter 2025",4,4.25,,High,TRUE,"Differentiate between serial and parallel communication, and explain USART protocol in brief."
"Briefly, differentiate between serial and parallel communication, and explain USART protocol briefly.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2024, Winter 2025",4,4.25,,High,TRUE,"Differentiate between serial and parallel communication, and explain USART protocol in brief."
"Compare between serial and parallel communication, and explain USART protocol in brief.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2024, Winter 2025",4,4.25,,High,TRUE,"Differentiate between serial and parallel communication, and explain USART protocol in brief."
"Distinguish between serial and parallel communication, and explain USART protocol in brief.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2024, Winter 2025",4,4.25,,High,TRUE,"Differentiate between serial and parallel communication, and explain USART protocol in brief."
"To summarize, enlist the features associated with AHB and ASB Buses.",Embedded Systems,2. Device and Communication Buses,Summer 2023,1,4,,Low,TRUE,List the features associated with AHB and ASB Buses.
"To summarize, enumerate the features associated with AHB and ASB Buses.",Embedded Systems,2. Device and Communication Buses,Summer 2023,1,4,,Low,TRUE,List the features associated with AHB and ASB Buses.
"Concisely, enlist the features associated with AHB and ASB Buses.",Embedded Systems,2. Device and Communication Buses,Summer 2023,1,4,,Low,TRUE,List the features associated with AHB and ASB Buses.
"Briefly, enlist the features associated with AHB and ASB Buses.",Embedded Systems,2. Device and Communication Buses,Summer 2023,1,4,,Low,TRUE,List the features associated with AHB and ASB Buses.
"In brief, enlist the features associated with AHB and ASB Buses.",Embedded Systems,2. Device and Communication Buses,Summer 2023,1,4,,Low,TRUE,List the features associated with AHB and ASB Buses.
"To summarize, explain I2C and CAN bus protocols in short.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2023, Winter 2025, Winter 2025",5,7,,High,TRUE,Explain I2C and CAN bus protocols in brief.
"To summarize, describe I2C and CAN bus protocols in brief.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2023, Winter 2025, Winter 2025",5,7,,High,TRUE,Explain I2C and CAN bus protocols in brief.
"Concisely, discuss I2C and CAN bus protocols in brief.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2023, Winter 2025, Winter 2025",5,7,,High,TRUE,Explain I2C and CAN bus protocols in brief.
"To summarize, explain I2C and CAN bus protocols in brief.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2023, Winter 2025, Winter 2025",5,7,,High,TRUE,Explain I2C and CAN bus protocols in brief.
"Concisely, explain I2C and CAN bus protocols in short.",Embedded Systems,2. Device and Communication Buses,"Summer 2023, Winter 2023, Winter 2023, Winter 2025, Winter 2025",5,7,,High,TRUE,Explain I2C and CAN bus protocols in brief.
"In short, discuss UART protocol in Serial Communication.",Embedded Systems,2. Device and Communication Buses,Winter 2021,1,4,,Low,TRUE,Explain UART protocol in Serial Communication.
"To summarize, discuss UART protocol in Serial Communication.",Embedded Systems,2. Device and Communication Buses,Winter 2021,1,4,,Low,TRUE,Explain UART protocol in Serial Communication.
Describe UART protocol in Serial Communication.,Embedded Systems,2. Device and Communication Buses,Winter 2021,1,4,,Low,TRUE,Explain UART protocol in Serial Communication.
"To summarize, explain UART protocol in Serial Communication.",Embedded Systems,2. Device and Communication Buses,Winter 2021,1,4,,Low,TRUE,Explain UART protocol in Serial Communication.
"In brief, describe UART protocol in Serial Communication.",Embedded Systems,2. Device and Communication Buses,Winter 2021,1,4,,Low,TRUE,Explain UART protocol in Serial Communication.
"Concisely, explain USB Protocol thoroughly.",Embedded Systems,2. Device and Communication Buses,Summer 2024,1,7,,Low,TRUE,Explain USB Protocol in detail.
"To summarize, describe USB Protocol in detail.",Embedded Systems,2. Device and Communication Buses,Summer 2024,1,7,,Low,TRUE,Explain USB Protocol in detail.
Describe USB Protocol in detail.,Embedded Systems,2. Device and Communication Buses,Summer 2024,1,7,,Low,TRUE,Explain USB Protocol in detail.
"Concisely, describe USB Protocol in detail.",Embedded Systems,2. Device and Communication Buses,Summer 2024,1,7,,Low,TRUE,Explain USB Protocol in detail.
Discuss USB Protocol in detail.,Embedded Systems,2. Device and Communication Buses,Summer 2024,1,7,,Low,TRUE,Explain USB Protocol in detail.
"Briefly, explain the operation of the Secure Digital Input Output (SDIO) protocol.",Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,TRUE,Explain the working of the Secure Digital Input Output (SDIO) protocol.
"Concisely, explain the functioning of the Secure Digital Input Output (SDIO) protocol.",Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,TRUE,Explain the working of the Secure Digital Input Output (SDIO) protocol.
"In brief, explain the operation of the Secure Digital Input Output (SDIO) protocol.",Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,TRUE,Explain the working of the Secure Digital Input Output (SDIO) protocol.
"To summarize, explain the functioning of the Secure Digital Input Output (SDIO) protocol.",Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,TRUE,Explain the working of the Secure Digital Input Output (SDIO) protocol.
"Briefly, explain the working of the Secure Digital Input Output (SDIO) protocol.",Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,TRUE,Explain the working of the Secure Digital Input Output (SDIO) protocol.
"To summarize, explain the operation of Spy-Bi-Wire serial communication protocol.",Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,TRUE,Explain the working of Spy-Bi-Wire serial communication protocol.
"Concisely, explain the operation of Spy-Bi-Wire serial communication protocol.",Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,TRUE,Explain the working of Spy-Bi-Wire serial communication protocol.
"In short, explain the operation of Spy-Bi-Wire serial communication protocol.",Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,TRUE,Explain the working of Spy-Bi-Wire serial communication protocol.
"Briefly, explain the working of Spy-Bi-Wire serial communication protocol.",Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,TRUE,Explain the working of Spy-Bi-Wire serial communication protocol.
"In short, explain the functioning of Spy-Bi-Wire serial communication protocol.",Embedded Systems,2. Device and Communication Buses,Summer 2025,1,7,,Low,TRUE,Explain the working of Spy-Bi-Wire serial communication protocol.
"To summarize, discuss the features and applications of Parallel Communication protocols.",Embedded Systems,2. Device and Communication Buses,Winter 2024,1,7,,Low,TRUE,Discuss the features and applications of Parallel Communication protocols.
"To summarize, describe the features and applications of Parallel Communication protocols.",Embedded Systems,2. Device and Communication Buses,Winter 2024,1,7,,Low,TRUE,Discuss the features and applications of Parallel Communication protocols.
"Concisely, explain the features and applications of Parallel Communication protocols.",Embedded Systems,2. Device and Communication Buses,Winter 2024,1,7,,Low,TRUE,Discuss the features and applications of Parallel Communication protocols.
"In short, discuss the features and applications of Parallel Communication protocols.",Embedded Systems,2. Device and Communication Buses,Winter 2024,1,7,,Low,TRUE,Discuss the features and applications of Parallel Communication protocols.
"To summarize, discuss the features and practical applications of Parallel Communication protocols.",Embedded Systems,2. Device and Communication Buses,Winter 2024,1,7,,Low,TRUE,Discuss the features and applications of Parallel Communication protocols.
"To summarize, describe the role of Timer and Counting Devices in embedded systems.",Embedded Systems,2. Device and Communication Buses,Winter 2024,1,3,,Low,TRUE,Explain the role of Timer and Counting Devices in embedded systems.
"To summarize, discuss the role of Timer and Counting Devices in embedded systems.",Embedded Systems,2. Device and Communication Buses,Winter 2024,1,3,,Low,TRUE,Explain the role of Timer and Counting Devices in embedded systems.
"To summarize, explain the role of Timer and Counting Devices in embedded systems.",Embedded Systems,2. Device and Communication Buses,Winter 2024,1,3,,Low,TRUE,Explain the role of Timer and Counting Devices in embedded systems.
"Briefly, discuss the role of Timer and Counting Devices in embedded systems.",Embedded Systems,2. Device and Communication Buses,Winter 2024,1,3,,Low,TRUE,Explain the role of Timer and Counting Devices in embedded systems.
"In short, explain the role of Timer and Counting Devices in embedded systems.",Embedded Systems,2. Device and Communication Buses,Winter 2024,1,3,,Low,TRUE,Explain the role of Timer and Counting Devices in embedded systems.
"In short, explain AMBA protocol and its variants.",Embedded Systems,2. Device and Communication Buses,Winter 2025,1,7,,Low,TRUE,Describe AMBA protocol and its variants.
"In short, discuss AMBA protocol and its variants.",Embedded Systems,2. Device and Communication Buses,Winter 2025,1,7,,Low,TRUE,Describe AMBA protocol and its variants.
"Concisely, discuss AMBA protocol and its variants.",Embedded Systems,2. Device and Communication Buses,Winter 2025,1,7,,Low,TRUE,Describe AMBA protocol and its variants.
Explain AMBA protocol and its variants.,Embedded Systems,2. Device and Communication Buses,Winter 2025,1,7,,Low,TRUE,Describe AMBA protocol and its variants.
"To summarize, explain AMBA protocol and its variants.",Embedded Systems,2. Device and Communication Buses,Winter 2025,1,7,,Low,TRUE,Describe AMBA protocol and its variants.
Explain the busy wait approach and interrupt mechanism for accessing I/O.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Summer 2022, Summer 2022, Winter 2023",3,3,,High,TRUE,Describe the busy wait approach and interrupt mechanism for accessing I/O.
"To summarize, describe the busy wait approach and interrupt mechanism for accessing I/O.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Summer 2022, Summer 2022, Winter 2023",3,3,,High,TRUE,Describe the busy wait approach and interrupt mechanism for accessing I/O.
"To summarize, explain the busy wait approach and interrupt mechanism for accessing I/O.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Summer 2022, Summer 2022, Winter 2023",3,3,,High,TRUE,Describe the busy wait approach and interrupt mechanism for accessing I/O.
"Briefly, discuss the busy wait approach and interrupt mechanism for accessing I/O.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Summer 2022, Summer 2022, Winter 2023",3,3,,High,TRUE,Describe the busy wait approach and interrupt mechanism for accessing I/O.
"To summarize, discuss the busy wait approach and interrupt mechanism for accessing I/O.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Summer 2022, Summer 2022, Winter 2023",3,3,,High,TRUE,Describe the busy wait approach and interrupt mechanism for accessing I/O.
"Concisely, discuss Direct Memory Access (DMA) and the operation of a DMA controller.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,5.29,,High,TRUE,Describe Direct Memory Access (DMA) and the operation of a DMA controller.
"In brief, discuss Direct Memory Access (DMA) and the operation of a DMA controller.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,5.29,,High,TRUE,Describe Direct Memory Access (DMA) and the operation of a DMA controller.
"In brief, explain Direct Memory Access (DMA) and the operation of a DMA controller.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,5.29,,High,TRUE,Describe Direct Memory Access (DMA) and the operation of a DMA controller.
"Concisely, explain Direct Memory Access (DMA) and the operation of a DMA controller.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,5.29,,High,TRUE,Describe Direct Memory Access (DMA) and the operation of a DMA controller.
"In short, describe Direct Memory Access (DMA) and the operation of a DMA controller.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Winter 2024, Summer 2025, Winter 2025",7,5.29,,High,TRUE,Describe Direct Memory Access (DMA) and the operation of a DMA controller.
"To summarize, explain the various kinds of interrupt sources.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Summer 2023,1,3,,Low,TRUE,Explain different types of interrupt sources.
"In short, explain the various kinds of interrupt sources.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Summer 2023,1,3,,Low,TRUE,Explain different types of interrupt sources.
"Briefly, explain the various kinds of interrupt sources.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Summer 2023,1,3,,Low,TRUE,Explain different types of interrupt sources.
"Briefly, describe different types of interrupt sources.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Summer 2023,1,3,,Low,TRUE,Explain different types of interrupt sources.
"Concisely, explain the various kinds of interrupt sources.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Summer 2023,1,3,,Low,TRUE,Explain different types of interrupt sources.
"In short, discuss the concept of Interrupt Service Routine (ISR).",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2022, Winter 2024, Summer 2025",3,3.67,,High,TRUE,Explain the concept of Interrupt Service Routine (ISR).
"In short, explain the concept of Interrupt Service Routine (ISR).",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2022, Winter 2024, Summer 2025",3,3.67,,High,TRUE,Explain the concept of Interrupt Service Routine (ISR).
Describe the concept of Interrupt Service Routine (ISR).,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2022, Winter 2024, Summer 2025",3,3.67,,High,TRUE,Explain the concept of Interrupt Service Routine (ISR).
"Concisely, explain the concept of Interrupt Service Routine (ISR).",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2022, Winter 2024, Summer 2025",3,3.67,,High,TRUE,Explain the concept of Interrupt Service Routine (ISR).
"Briefly, discuss the concept of Interrupt Service Routine (ISR).",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2022, Winter 2024, Summer 2025",3,3.67,,High,TRUE,Explain the concept of Interrupt Service Routine (ISR).
"In short, what is a Device Driver and explain the role of interrupts in device driver programming.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,5.71,,High,TRUE,What is a Device Driver and explain the role of interrupts in device driver programming.
"To summarize, what is a Device Driver and explain the role of interrupts in device driver programming.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,5.71,,High,TRUE,What is a Device Driver and explain the role of interrupts in device driver programming.
"Concisely, what is a Device Driver and explain the role of interrupts in device driver programming.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,5.71,,High,TRUE,What is a Device Driver and explain the role of interrupts in device driver programming.
"In brief, what is a Device Driver and explain the role of interrupts in device driver programming.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,5.71,,High,TRUE,What is a Device Driver and explain the role of interrupts in device driver programming.
"Briefly, what is a Device Driver and explain the role of interrupts in device driver programming.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,5.71,,High,TRUE,What is a Device Driver and explain the role of interrupts in device driver programming.
"Briefly, list down the steps executed before handling an Interrupt in an embedded system.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2024",2,3,,Medium,TRUE,List down the steps executed before handling an Interrupt in an embedded system.
Enumerate down the steps executed before handling an Interrupt in an embedded system.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2024",2,3,,Medium,TRUE,List down the steps executed before handling an Interrupt in an embedded system.
"Briefly, enlist down the steps executed before handling an Interrupt in an embedded system.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2024",2,3,,Medium,TRUE,List down the steps executed before handling an Interrupt in an embedded system.
"In short, enlist down the steps executed before handling an Interrupt in an embedded system.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2024",2,3,,Medium,TRUE,List down the steps executed before handling an Interrupt in an embedded system.
"To summarize, enlist down the steps executed before handling an Interrupt in an embedded system.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2021, Summer 2024",2,3,,Medium,TRUE,List down the steps executed before handling an Interrupt in an embedded system.
"To summarize, compare between Function and ISR.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,3,,Low,TRUE,Differentiate between Function and ISR.
"In brief, differentiate between Function and ISR.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,3,,Low,TRUE,Differentiate between Function and ISR.
Compare between Function and ISR.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,3,,Low,TRUE,Differentiate between Function and ISR.
"Briefly, distinguish between Function and ISR.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,3,,Low,TRUE,Differentiate between Function and ISR.
"In short, distinguish between Function and ISR.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,3,,Low,TRUE,Differentiate between Function and ISR.
"In brief, explain the classification of processor interrupt service mechanisms.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2024,1,7,,Low,TRUE,Describe the classification of processor interrupt service mechanisms.
"Briefly, discuss the classification of processor interrupt service mechanisms.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2024,1,7,,Low,TRUE,Describe the classification of processor interrupt service mechanisms.
"In brief, describe the classification of processor interrupt service mechanisms.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2024,1,7,,Low,TRUE,Describe the classification of processor interrupt service mechanisms.
"To summarize, describe the classification of processor interrupt service mechanisms.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2024,1,7,,Low,TRUE,Describe the classification of processor interrupt service mechanisms.
"To summarize, explain the classification of processor interrupt service mechanisms.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2024,1,7,,Low,TRUE,Describe the classification of processor interrupt service mechanisms.
"Concisely, explain the context-switching mechanism in the presence of multiple interrupts.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2024, Summer 2025",2,5,,High,TRUE,Discuss the context-switching mechanism in the presence of multiple interrupts.
"In brief, discuss the context-switching mechanism in the presence of multiple interrupts.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2024, Summer 2025",2,5,,High,TRUE,Discuss the context-switching mechanism in the presence of multiple interrupts.
"To summarize, explain the context-switching mechanism in the presence of multiple interrupts.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2024, Summer 2025",2,5,,High,TRUE,Discuss the context-switching mechanism in the presence of multiple interrupts.
"In brief, explain the context-switching mechanism in the presence of multiple interrupts.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2024, Summer 2025",2,5,,High,TRUE,Discuss the context-switching mechanism in the presence of multiple interrupts.
"In brief, describe the context-switching mechanism in the presence of multiple interrupts.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,"Winter 2024, Summer 2025",2,5,,High,TRUE,Discuss the context-switching mechanism in the presence of multiple interrupts.
"In brief, define Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2025,1,3,,Low,TRUE,Define Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?
"To summarize, explain Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2025,1,3,,Low,TRUE,Define Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?
"In short, define Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2025,1,3,,Low,TRUE,Define Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?
"Concisely, describe Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2025,1,3,,Low,TRUE,Define Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?
"Concisely, explain Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2025,1,3,,Low,TRUE,Define Interrupt Deadline. How does an embedded software designer solve the interrupt deadline problem?
Enlist various I/O types of an embedded system and explain them with examples.,Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,7,,Low,TRUE,Enumerate various I/O types of an embedded system and explain them with examples.
"Concisely, enumerate various I/O types of an embedded system and explain them with illustrations.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,7,,Low,TRUE,Enumerate various I/O types of an embedded system and explain them with examples.
"In brief, enlist various I/O types of an embedded system and explain them with examples.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,7,,Low,TRUE,Enumerate various I/O types of an embedded system and explain them with examples.
"Concisely, enumerate various I/O types of an embedded system and explain them with examples.",Embedded Systems,3. Device Drivers and Interrupt Services Mechanism,Winter 2021,1,7,,Low,TRUE,Enumerate various I/O types of an embedded system and explain them with examples.
